model,rmse,mae,mape,metric
NHITS 96,9.3,7.4,19.0,35.7
RNN 96,25.3,24.6,55.1,105.0
LSTM 96,10.2,8.9,19.2,38.3
BiTCN 96,13.8,12.7,27.8,54.3
KAN 96,8.5,6.5,16.9,31.9
NHITS 48,6.4,4.7,12.3,23.4
RNN 48,27.8,27.2,61.3,116.3
LSTM 48,20.6,19.8,44.1,84.5
BiTCN 48,14.1,13.2,28.9,56.2
KAN 48,6.7,5.0,13.0,24.7
manual arima 48,8.4,6.2,16.3,30.9
manual arima 96,11.6,9.2,23.7,44.5
Prophet,22.5,21.0,46.4,89.9
Prophet_holiday,22.8,21.3,47.0,91.1
Prophet_seasonal 96,13.9,12.0,26.1,52.0
Prophet_seasonal 48,17.8,15.5,33.5,66.8
Prophet_seasonal 672,11.4,9.8,21.3,42.5
Prophet_seasonal 2976,11.1,8.8,22.1,42.0
ETS yhat,21.6,14.8,32.4,68.8
NHITS 672,6.6,4.8,12.0,23.4
RNN 672,6.0,4.9,12.2,23.1
LSTM 672,6.1,5.1,12.6,23.8
BiTCN 672,6.5,5.1,13.1,24.7
KAN 672,11.3,10.0,23.2,44.5
NHITS 2976,14.8,12.4,31.1,58.3
RNN 2976,32.7,28.4,66.0,127.1
LSTM 2976,28.6,26.0,60.7,115.3
BiTCN 2976,20.0,17.4,39.8,77.2
KAN 2976,34.9,29.7,73.0,137.6
ETS seasonal combo,38.1,37.6,85.6,161.3
AutoARIMA,7.4,5.3,14.0,26.6
AutoETS,8.1,5.9,15.6,29.7
