model,rmse,mae,mape
Seasonal add 4464,3147.16,2487.11,16.07
Seasonal mul 4464,3104.98,2414.16,15.39
Seasonal 12,316.35,230.88,414.91
Seasonal 24,944.15,658.42,136.59
Seasonal 744,33.77,23.19,115.72
Seasonal 4464,377.38,290.60,73.47
model_Prophet,1809.38,1409.45,9.53
model_holiday,1791.25,1398.01,9.43
model_seasonal,1785.20,1392.04,9.39
NHITS,3406.18,2699.64,17.06
RNN,2684.73,2081.59,13.62
LSTM,2788.05,2159.85,13.95
BiTCN,2804.68,2188.59,14.24
KAN,2605.83,2042.94,13.43
AutoARIMA,0.00,0.00,0.02
AutoETS,0.00,0.00,0.03
