model,rmse,mae,mape
Seasonal mul 52,5.5291919693290525,4.908715808026615,1.174562760273855
Seasonal mul 104,5.15838806683473,3.4277629538969334,1.0081937183480305
Seasonal add 52,5.390065897207546,4.762221429085036,1.1391618919828188
Seasonal add 104,4.240255553385689,3.4277629538969334,0.8176938493225915
Seasonal 52,0.3128901078941132,0.2437399378522911,33.12452345812634
Seasonal 104,0.0261004878272867,0.0184829439576189,71.83348729040013
model_Prophet,2.9737632653635626,2.6694626688152288,0.6390904403114861
model_seasonal,2.9751447369793373,2.66852948743102,0.6388467736217249
changepoint_prior,2.953969470361784,2.650524304689029,0.6345514470287692
NHITS,4.830146976597257,4.165694386856959,0.9951051349919124
RNN,4.138527299694919,3.67764931904315,0.8873620489222578
LSTM,4.984697312352045,4.393907327492141,1.0506476290082116
BiTCN,8.020541705231603,7.085719657912155,1.6937658253542103
KAN,5.611829564001775,4.8940661098259985,1.1697519303539772
